Game, Date, PlayerID, GroupID, Track, Sandbox, Obstacles, Surface, Tire, Engine, Body, Finished, FinishedTime, TopSpeed, TimeToTopSpeed, PathCurvature1, CheckPoint1, PathCurvature2, CheckPoint2, PathCurvature3, CheckPoint3, MaxVelocity, Acceleration, AccelerationCurve, Suspension, Drag, Steer, Grip
58,7/16/2020 11:35,RK,RK,BumpyTrack,0,0,Normal,Muscle,Roadster,4x4,1,59.6698,17.9832,38.2339,360,11.6143,1440,35.9491,720,53.813,18,5,0.6,0.5,40,5,0.5
59,7/16/2020 11:38,RK,RK,BumpyTrack,0,0,Normal,Muscle,4x4,Classic,1,46.1546,20.9868,45.4972,360,10.7337,1440,28.0129,720,42.3545,21,11,0.8,0.5,10,5,0.5
60,7/16/2020 11:45,RK,RK,BumpyTrack,0,0,Normal,Classic,4x4,Roadster,1,57.1941,21.0315,54.5962,360,17.7365,1440,37.692,720,53.2552,21,11,0.8,0.2,20,5,0.8
61,7/16/2020 11:50,RK,RK,BumpyTrack,0,0,Normal,4x4,4x4,Classic,1,50.6172,21.5517,23.7317,360,9.31055,1440,37.3142,720,46.7529,21,11,0.8,1,10,6,0.9
62,7/16/2020 11:52,RK,RK,BumpyTrack,0,0,Normal,4x4,4x4,Classic,1,39.6739,21.0143,8.35042,360,9.6919,1440,26.6312,720,35.712,21,11,0.8,1,10,6,0.9
63,7/16/2020 15:36,Reina,yo,CountryTrack,0,0,Normal,Classic,Classic,Classic,1,34.0804,14.9858,9.40275,0,4.82137,270,12.9413,270,28.6573,15,8,0.4,0.2,10,6,0.8
64,7/16/2020 15:38,Reina,yo,BumpyTrack,0,0,Normal,4x4,Classic,Roadster,1,72.5311,15.6498,30.5111,360,12.8891,1440,46.8089,720,67.4706,15,8,0.4,1,20,6,0.9
65,7/16/2020 17:41,Reina,yo,CountryTrack,0,0,Normal,Classic,Classic,Classic,1,33.039,14.9858,20.2828,0,4.82242,270,12.7991,270,27.6433,15,8,0.4,0.2,10,6,0.8
66,7/16/2020 17:42,Reina,yo,BumpyTrack,0,0,Normal,4x4,Classic,Roadster,1,68.03,16.9919,28.3717,360,12.5712,1440,43.4469,720,62.9275,15,8,0.4,1,20,6,0.9
67,7/16/2020 17:44,Reina,yo,WindingTrack,0,0,Sandy,Muscle,4x4,Muscle,1,63.5939,24.0648,2.21678,1440,17.7776,1440,37.1998,1080,51.4941,21,11,0.8,0.5,25,5,0.6
68,7/16/2020 17:46,Reina,yo,MountainTrack,0,1,Icy,4x4,Roadster,4x4,1,71.7832,17.9962,27.2025,990,21.0842,1080,33.7946,990,63.6841,18,5,0.6,1,35,11,0.9
